 ,LEC 001,MWF 9:55-10:45AM,1131 Mosse Humanities Building,,,4,09:55,10:45,,,09:55,10:45,,,09:55,10:45
58889,DIS 301,T 11:00-11:50AM,2625 Mosse Humanities Building,,,,,,11:00,11:50,,,,,,
58890,DIS 302,T 12:05-12:55PM,2619 Mosse Humanities Building,,,,,,12:05,12:55,,,,,,
58891,DIS 303,T 9:55-10:45AM,2231 Mosse Humanities Building,,,,,,09:55,10:45,,,,,,
58892,DIS 304,M 12:05-12:55PM,2231 Mosse Humanities Building,,,,12:05,12:55,,,,,,,,
 ,LEC 002,MWF 11:00-11:50AM,L196 Education Building,PAUL, Sarah,4,11:00,11:50,,,11:00,11:50,,,11:00,11:50
58893,DIS 311,R 12:05-12:55PM,2101 Mosse Humanities Building,,,,,,,,,,12:05,12:55,,
58897,DIS 312,F 8:50-9:40AM,L155 Education Building,,,,,,,,,,,,08:50,09:40
58898,DIS 313,R 11:00-11:50AM,2241 Mosse Humanities Building,,,,,,,,,,11:00,11:50,,
59130,DIS 316,R 9:55-10:45AM,2121 Mosse Humanities Building,,,,,,,,,,09:55,10:45,,
 ,LEC 004,TR 2:30-3:45PM,1101 Mosse Humanities Building,SOUTHGATE, Henry,4,,,14:30,15:45,,,14:30,15:45,,
58903,DIS 331,W 9:55-10:45AM,2115 Mosse Humanities Building,,,,,,09:55,10:45,,,,,,
58904,DIS 332,W 8:50-9:40AM,1131 Mosse Humanities Building,,,,,,,,08:50,09:40,,,,
58905,DIS 333,W 12:05-12:55PM,L155 Education Building,,,,,,,,12:05,12:55,,,,
58906,DIS 334,R 11:00-11:50AM,2231 Mosse Humanities Building,,,,,,,,,,11:00,11:50,,
 ,LEC 006,TR 9:30-10:45AM,1131 Mosse Humanities Building,BENGSON, John,4,,,09:30,10:45,,,09:30,10:45,,
64540,DIS 340,M 9:55-10:45AM,2221 Mosse Humanities Building,,,,09:55,10:45,,,,,,,,
64541,DIS 341,M 11:00-11:50AM,2231 Mosse Humanities Building,,,,11:00,11:50,,,,,,,,
64542,DIS 342,M 12:05-12:55PM,2211 Mosse Humanities Building,,,,12:05,12:55,,,,,,,,
64543,DIS 343,F 11:00-11:50AM,1280 Grainger Hall,,,,,,,,,,,,11:00,11:50
